mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.7,distributed,B3_no_reservation,2,18,706,706,0,0.0,1.0248704663212436,2.262381678952843,0,965
0.7,distributed,B3_no_reservation,3,19,653,653,0,0.0,1.0038709677419355,2.1921988221675623,0,775
0.7,distributed,B3_no_reservation,3,20,721,721,0,0.0,1.0117785630153122,2.2058396919028596,0,849
0.7,distributed,B3_no_reservation,3,21,717,717,0,0.0,1.0079545454545455,2.210398246596686,0,880
0.7,distributed,B3_no_reservation,3,22,688,688,0,0.0,1.0049079754601227,2.209228037769637,0,815
0.7,distributed,B3_no_reservation,3,23,704,704,0,0.0,1.00355871886121,2.209079211317987,0,843
0.7,distributed,B3_no_reservation,3,24,674,674,0,0.0,1.0024906600249066,2.2119069817668984,0,803
0.7,distributed,B3_no_reservation,4,25,688,688,0,0.0,1.0,2.219014706872845,0,936
0.7,distributed,B3_no_reservation,4,26,688,688,0,0.0,1.0,2.200640738083739,0,941
0.7,distributed,B3_no_reservation,4,27,671,671,0,0.0,1.0,2.21951865943046,0,956
0.7,distributed,B3_no_reservation,4,28,645,645,0,0.0,1.0,2.187026474240998,0,923
0.7,distributed,B3_no_reservation,4,29,745,745,0,0.0,1.0,2.2134934002253654,0,1050
0.7,distributed,B3_no_reservation,4,30,693,693,0,0.0,1.0,2.2078469936640293,0,958
0.9,concentrated,B3_no_reservation,0,1,866,866,0,0.0,1.368020304568528,2.783673217971476,0,788
0.9,concentrated,B3_no_reservation,0,2,921,921,0,0.0,1.3983050847457628,2.775325523147001,0,826
0.9,concentrated,B3_no_reservation,0,3,914,914,0,0.0,1.4242803504380475,2.7665196717184815,0,799
0.9,concentrated,B3_no_reservation,0,4,913,913,0,0.0,1.3730631704410012,2.7716878832460172,0,839
0.9,concentrated,B3_no_reservation,0,5,867,867,0,0.0,1.4109947643979057,2.7553834513062734,0,764
0.9,concentrated,B3_no_reservation,0,6,949,949,0,0.0,1.3800695249130939,2.7758643471029334,0,863
0.9,concentrated,B3_no_reservation,1,7,831,831,0,0.0,1.3140147523709167,2.7390685159298043,0,949
0.9,concentrated,B3_no_reservation,1,8,885,885,0,0.0,1.307845084409136,2.7499221672373464,0,1007
0.9,concentrated,B3_no_reservation,1,9,885,885,0,0.0,1.3326509723643807,2.756091685887585,0,977
0.9,concentrated,B3_no_reservation,1,10,940,940,0,0.0,1.336111111111111,2.757164881225563,0,1080
0.9,concentrated,B3_no_reservation,1,11,915,915,0,0.0,1.3356435643564357,2.77564181698824,0,1010
0.9,concentrated,B3_no_reservation,1,12,852,852,0,0.0,1.3270440251572326,2.745111502246661,0,954
0.9,concentrated,B3_no_reservation,2,13,906,906,0,0.0,1.3664036076662909,2.755165667000629,0,887
0.9,concentrated,B3_no_reservation,2,14,919,919,0,0.0,1.3421330517423442,2.7673854995237077,0,947
0.9,concentrated,B3_no_reservation,2,15,903,903,0,0.0,1.3552036199095023,2.757416140383052,0,884
0.9,concentrated,B3_no_reservation,2,16,864,864,0,0.0,1.3595375722543352,2.7814397909571396,0,865
0.9,concentrated,B3_no_reservation,2,17,945,945,0,0.0,1.3487394957983194,2.757363482164459,0,952
0.9,concentrated,B3_no_reservation,2,18,899,899,0,0.0,1.35965848452508,2.7904492535577186,0,937
0.9,concentrated,B3_no_reservation,3,19,870,870,0,0.0,1.397946084724005,2.7674887339983147,0,779
0.9,concentrated,B3_no_reservation,3,20,921,921,0,0.0,1.4518613607188704,2.7609481081344875,0,779
0.9,concentrated,B3_no_reservation,3,21,900,900,0,0.0,1.3921319796954315,2.7805155968553645,0,788
0.9,concentrated,B3_no_reservation,3,22,892,892,0,0.0,1.3820078226857888,2.7726071253279407,0,767
0.9,concentrated,B3_no_reservation,3,23,879,879,0,0.0,1.3388535031847133,2.7612073999798783,0,785
