layout_seed,rho,seed,t_r3b,t_conc,totalL_r3b,totalL_conc,block_r3b,block_conc
2,1.0,3,13.64522735197902,13.928797590890465,12.695564942472664,13.512041478771069,0.0693897965988663,0.028490948362243647
2,1.0,4,13.42424674817739,14.614509225261152,12.48971200752279,14.179356856848019,0.06654626130193875,0.029086904775146548
2,1.0,5,13.272627550193132,13.995937346530877,12.380944097131096,13.562218776026214,0.06655472277205703,0.029044903777619386
2,1.0,6,13.3538417223492,14.521457798885598,12.411562386296755,14.141474144816971,0.06702284286606586,0.0329559998234697
2,1.0,7,13.796906400554064,13.884298812061076,12.917174625277426,13.491564696330247,0.07225373052144705,0.026180692435327786
2,1.0,8,13.569710010447553,14.563966918304107,12.6143728631072,14.159155705019291,0.07143412272813066,0.03149597582171838
2,1.0,9,13.490186330001627,14.38077820753287,12.609249349784303,13.998234262274188,0.06689742394994343,0.033545938072432745
2,1.0,10,13.548487660813775,14.083519758527876,12.617918176243938,13.597242866942612,0.07019003561087629,0.027443869899044165
2,1.2,1,22.61019050083195,30.08194574670368,18.520106705068525,25.10136904516718,0.18320497903854321,0.16934167949628018
2,1.2,2,22.53264004960694,30.082402908874034,18.391663577280053,25.063433842691374,0.18042056900512457,0.16575814884859272
2,1.2,3,22.354496446347778,30.71968796678484,18.21667342243487,25.291548978284915,0.1814723173091234,0.17644062459480986
2,1.2,4,22.207938310774345,30.345095199352087,18.246322989120628,25.167523362409533,0.18083868823399069,0.16843854746009787
2,1.2,5,22.082524789011195,29.944932404629682,18.115496602273755,24.9385691815326,0.1766777884141751,0.16364600091131423
2,1.2,6,22.120844234594376,30.31240490869793,18.159236547234872,25.26242907065055,0.17511632235250327,0.16817169317793204
2,1.2,7,22.39031652437954,29.703721456075804,18.37891902916131,24.8550732562567,0.18417443647776746,0.16504809513689328
2,1.2,8,22.300187893435602,30.034509828016198,18.2396957728747,25.07242336647677,0.17896087235407312,0.1666296892044299
2,1.2,9,22.110173938682724,30.15437036392491,18.167747450399524,25.070555260318717,0.1810689333739421,0.16680893705463182
2,1.2,10,22.59325993162674,29.819625986323246,18.42918284925234,24.8164134371834,0.17853379216443313,0.1647662326800301
3,0.6,1,2.1944027394177623,0.33907168302708424,2.210117163994771,0.34031324002118113,0.0005330000551379367,0.0
3,0.6,2,2.2356698295977044,0.320989740932326,2.234504698317963,0.318225662607631,0.0005927133304932486,0.0
3,0.6,3,2.2754291173864614,0.35106325390162496,2.275717142354319,0.35172637338121693,0.0007031568039672847,0.0
3,0.6,4,2.162901632741236,0.3562302264217594,2.146706555434164,0.3548712740765208,0.0005968701620875534,0.0
3,0.6,5,2.256719972875502,0.3390889493898348,2.25368405029954,0.3383542598908078,0.0005930538567033619,0.0
3,0.6,6,2.1681614897094166,0.34052643577657005,2.155907826716867,0.3407310696010717,0.00048427052096332583,0.0
3,0.6,7,2.263595125820045,0.3428789747435374,2.2846932309905834,0.3429297716286846,0.0007518383364201492,0.0
3,0.6,8,2.207398204880975,0.3533048038984375,2.203154085746732,0.3513812555216571,0.00035245886434043814,0.0
3,0.6,9,2.1892785268836703,0.3413381557489084,2.186258450230973,0.34129167430956076,0.0006673216304891839,0.0
