adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
,,,,tariff,1.2899083411554142,8335.769145459937,,,,,,,full,,14,flat
,,,,tariff,1.2189573134363896,7848.003261240926,,,,,,,full,,15,flat
,,,,tariff,1.1487673542868422,7445.90412274567,,,,,,,full,,16,flat
,,,,tariff,1.3109498596492817,8653.207440235505,,,,,,,full,,17,flat
,,,,tariff,1.2344184549851775,7988.741960260389,,,,,,,full,,18,flat
,,,,tariff,1.20280866404116,7821.744605445715,,,,,,,full,,19,flat
,,,,tariff,1.233925110151456,8144.525099299511,,,,,,,full,,20,flat
,,,,tariff,1.2554452407264756,8243.129825881415,,,,,,,full,,21,flat
,,,,tariff,1.1643539035734911,7643.940823577077,,,,,,,full,,22,flat
,,,,tariff,1.2002392395724286,7890.056762973135,,,,,,,full,,23,flat
,,,,tariff,1.1511731006456682,7518.339495009718,,,,,,,full,,24,flat
,,,,tariff,1.2074552898921609,7820.602588978441,,,,,,,full,,25,flat
,,,,tariff,1.2094054628813022,7958.136625901028,,,,,,,full,,26,flat
,,,,tariff,1.1961525223787501,7811.750049935549,,,,,,,full,,27,flat
,,,,tariff,1.1580328652978735,7493.955003861026,,,,,,,full,,28,flat
,,,,tariff,1.3502548409835702,8777.153970937006,,,,,,,full,,29,flat
,,,,tariff,1.2307873075438542,8030.657119352291,,,,,,,full,,30,flat
,,,,tariff,1.2256890433136276,8157.926955424665,,,,,,,adaptive,,1,flat
,,,,tariff,1.318378168797532,8762.521125317424,,,,,,,adaptive,,2,flat
,,,,tariff,1.2927684853551795,8585.123235701716,,,,,,,adaptive,,3,flat
,,,,tariff,1.2875751014834755,8553.834009890346,,,,,,,adaptive,,4,flat
,,,,tariff,1.1836540017312331,7847.693344875331,,,,,,,adaptive,,5,flat
,,,,tariff,1.3085917711947284,8697.278474632038,,,,,,,adaptive,,6,flat
,,,,tariff,1.1177150981810346,7451.433987873959,,,,,,,adaptive,,7,flat
,,,,tariff,1.2249497090691897,8142.998060461735,,,,,,,adaptive,,8,flat
,,,,tariff,1.233231083144501,8214.873887630487,,,,,,,adaptive,,9,flat
,,,,tariff,1.330685125255149,8844.567501701526,,,,,,,adaptive,,10,flat
,,,,tariff,1.2400367122393765,8253.578081596317,,,,,,,adaptive,,11,flat
,,,,tariff,1.1615882392348873,7727.2549282330065,,,,,,,adaptive,,12,flat
,,,,tariff,1.2619866619006657,8396.57774600493,,,,,,,adaptive,,13,flat
,,,,tariff,1.307193118070228,8681.287453802048,,,,,,,adaptive,,14,flat
,,,,tariff,1.2687186509501238,8454.791006334648,,,,,,,adaptive,,15,flat
,,,,tariff,1.174875989603662,7822.506597358185,,,,,,,adaptive,,16,flat
,,,,tariff,1.3616363879130808,9054.242586087765,,,,,,,adaptive,,17,flat
,,,,tariff,1.250771318450454,8328.475456336851,,,,,,,adaptive,,18,flat
,,,,tariff,1.237030083990089,8236.867226601064,,,,,,,adaptive,,19,flat
,,,,tariff,1.236903343558299,8209.35562372248,,,,,,,adaptive,,20,flat
,,,,tariff,1.2995866916727445,8627.244611152148,,,,,,,adaptive,,21,flat
,,,,tariff,1.2212403167964194,8124.935445309935,,,,,,,adaptive,,22,flat
,,,,tariff,1.2315649147330001,8187.0994315538055,,,,,,,adaptive,,23,flat
,,,,tariff,1.2503905046449704,8325.936697633622,,,,,,,adaptive,,24,flat
,,,,tariff,1.231614049079158,8210.760327194863,,,,,,,adaptive,,25,flat
