n,m,rho,seed,L_r1,L_r3a,L_c_analytic
4,6,0.6,29,0.7039080770390405,0.4269615329831594,0.4304258152047016
4,6,0.6,30,0.7142183275783087,0.42531946699484396,0.4304258152047016
4,6,0.65,1,0.8585205427637563,0.5058386058946486,0.6572831169092059
4,6,0.65,2,0.8750391548200956,0.4941753655265772,0.6572831169092059
4,6,0.65,3,0.8768788758980411,0.501792894281318,0.6572831169092059
4,6,0.65,4,0.866348733009522,0.5104269310113093,0.6572831169092059
4,6,0.65,5,0.8578383383516124,0.5053246200038046,0.6572831169092059
4,6,0.65,6,0.8638220828304313,0.5130279096163904,0.6572831169092059
4,6,0.65,7,0.8480854878023183,0.4998406815207083,0.6572831169092059
4,6,0.65,8,0.8766797745685186,0.5046094819630556,0.6572831169092059
4,6,0.65,9,0.8631793088404265,0.509801087842999,0.6572831169092059
4,6,0.65,10,0.8615535011332452,0.513592960924622,0.6572831169092059
4,6,0.65,11,0.8501524094622372,0.5050803517039916,0.6572831169092059
4,6,0.65,12,0.8689930153929024,0.49748086201061525,0.6572831169092059
4,6,0.65,13,0.8540084845972051,0.511477769116037,0.6572831169092059
4,6,0.65,14,0.8561414435976733,0.519587455494803,0.6572831169092059
4,6,0.65,15,0.8655183957621722,0.5083988350859695,0.6572831169092059
4,6,0.65,16,0.864350031956844,0.5172355441365769,0.6572831169092059
4,6,0.65,17,0.873625585861648,0.5197781236685884,0.6572831169092059
4,6,0.65,18,0.8673806618586692,0.5241614982396982,0.6572831169092059
4,6,0.65,19,0.8431583655998699,0.5110056514768679,0.6572831169092059
4,6,0.65,20,0.8611840020800507,0.5078318898462474,0.6572831169092059
4,6,0.65,21,0.8779468642156665,0.5046558300040063,0.6572831169092059
4,6,0.65,22,0.8683891450505986,0.5168435192201731,0.6572831169092059
4,6,0.65,23,0.8511528134502128,0.5106648501300074,0.6572831169092059
4,6,0.65,24,0.8750186425181631,0.5131913645863324,0.6572831169092059
4,6,0.65,25,0.8600937315528646,0.5155533711591633,0.6572831169092059
4,6,0.65,26,0.8638969645823286,0.505294267963019,0.6572831169092059
4,6,0.65,27,0.8676878064777763,0.4988787668184489,0.6572831169092059
4,6,0.65,28,0.8788543974967439,0.5101160595874302,0.6572831169092059
4,6,0.65,29,0.8681863036267896,0.5081483824181796,0.6572831169092059
4,6,0.65,30,0.8477902120170122,0.508891853059265,0.6572831169092059
4,6,0.7,1,1.026687336739172,0.6246951624188775,0.9948450591739566
4,6,0.7,2,1.040778395353104,0.6115462057537042,0.9948450591739566
4,6,0.7,3,1.0380127662160619,0.6278792608950031,0.9948450591739566
4,6,0.7,4,1.0348596115714515,0.6095747661422896,0.9948450591739566
4,6,0.7,5,1.0311677257622094,0.6198772833557561,0.9948450591739566
4,6,0.7,6,1.0444481196354878,0.6156087982900895,0.9948450591739566
4,6,0.7,7,1.0216209986473976,0.6200381481686983,0.9948450591739566
4,6,0.7,8,1.029125413010353,0.630489114090046,0.9948450591739566
4,6,0.7,9,1.0189826761551017,0.6398470281036128,0.9948450591739566
4,6,0.7,10,1.0488799397695863,0.6069066942594437,0.9948450591739566
4,6,0.7,11,1.0051876988447528,0.6028365101571821,0.9948450591739566
4,6,0.7,12,1.0269011453420906,0.6157953025525028,0.9948450591739566
4,6,0.7,13,1.0313712963991057,0.6424611474528882,0.9948450591739566
4,6,0.7,14,1.023912319327808,0.5992470821524762,0.9948450591739566
4,6,0.7,15,1.0217455866028946,0.6235097951454133,0.9948450591739566
4,6,0.7,16,1.0295230725478914,0.6150547308859183,0.9948450591739566
4,6,0.7,17,1.0433729162312746,0.6189982970046329,0.9948450591739566
4,6,0.7,18,1.0394246950269734,0.6284123616281271,0.9948450591739566
