config,policy,layout_id,seed,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,f12_makespan_capped_min,f12_tardiness_capped_min,makespan_min,total_tardiness_min,mean_charge_duration_min,total_charge_energy_wh,mission_flight_energy_wh,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us,charge_sessions
density_scarce,ours,2,13,2,0.8,802,802,0,0.0685785536159601,2.532785826806805,1.018,1.5073052294814384,0.007480597325366308,1018.0,269.97475747247006,1018.0,269.97475747247006,3.3344947735191637,10971.013580503715,7300.675867503119,0,0.038154897494305236,7.931237721021611,1151.9545564324021,861
density_scarce,ours,2,14,2,0.8,829,829,0,0.020506634499396863,2.6134855955450953,1.052,1.560220544827633,0.0012650507174624792,1052.0,47.192717014937784,1052.0,47.192717014937784,3.261904761904762,11460.152764499291,7433.0563792987405,0,0.03780617678381257,7.777566539923955,1128.9206603606438,924
density_scarce,ours,2,15,2,0.8,788,788,0,0.0,2.5584848743498947,1.001,1.5574848743498948,0.0,1001.0,0.0,1001.0,0,3.249126891734575,10665.661749609586,6871.545651923486,0,0.03608247422680412,5.646353646353647,1320.4034363727203,859
density_scarce,ours,2,16,2,0.8,776,776,0,0.0,2.595825639996515,1.002,1.593825639996515,0.0,1002.0,0.0,1002.0,0,3.21461716937355,10645.082494207047,6681.0418657608325,0,0.032721010332950634,5.712574850299402,1263.7328359311239,862
density_scarce,ours,2,17,2,0.8,850,850,0,0.12588235294117647,2.6183551232997773,1.054,1.5393801556065696,0.0249749676932075,1054.0,955.2925142651868,1054.0,955.2925142651868,3.347777777777778,11308.45520011139,7387.2516103490425,0,0.035480349344978165,8.995256166982923,1078.6270742445947,900
density_scarce,ours,2,18,2,0.8,811,811,0,0.10357583230579531,2.6351706797589642,1.059,1.558865136890836,0.017305542868128614,1059.0,631.5657869723537,1059.0,631.5657869723537,3.640877598152425,11753.710614312755,7595.510991152412,0,0.048752834467120185,10.765816808309726,846.3326544878907,866
density_scarce,ours,3,19,2,0.8,768,768,0,0.0,2.50669468125327,1.012,1.49469468125327,0.0,1012.0,0.0,1012.0,0,3.546468401486989,10835.316016285797,7273.714705290763,0,0.06371359223300971,5.24505928853755,1373.425484575598,807
density_scarce,ours,3,20,2,0.8,811,811,0,0.2959309494451295,2.6582515105191575,1.049,1.5179085090782016,0.09134300144095592,1049.0,3333.5628375876863,1049.0,3333.5628375876863,3.730958230958231,11437.022259219606,7627.550411989281,0,0.05956678700361011,9.92183031458532,981.9151630942295,814
density_scarce,ours,3,21,2,0.8,820,820,0,0.018292682926829267,2.532457559280246,1.022,1.5092202089170492,0.0012373503631966695,1022.0,45.6582284019571,1022.0,45.6582284019571,3.6650602409638555,11465.453351916005,7623.44241346404,0,0.0644208037825059,9.54109589041096,1001.5683212310921,830
density_scarce,ours,3,22,2,0.8,778,778,0,0.0,2.5480607903703407,0.997,1.5510607903703406,0.0,997.0,0.0,997.0,0,3.6317733990147785,11095.551457286621,7172.866161247977,0,0.05997552019583843,5.332,1337.3795615490915,812
