n,m,rho,seed,L_r1,L_r3a,t_r1,t_r3a,block_r1,block_r3a,L_c_analytic,t_c_analytic
4,6,0.75,18,1.2267296402195458,0.5183543880069473,5.160592380475728,2.0683309898897506,0.05296283452250072,0.00047268752400366333,1.501041196658349,1.50164841930856
4,6,0.75,19,1.1984182263691128,0.49593124204540834,5.065020219560952,1.9846917776689654,0.05203410077387091,0.00046667703726749484,1.501041196658349,1.50164841930856
4,6,0.75,20,1.210290733906232,0.512666490801342,5.117230579089465,2.0556769446604966,0.05079568006303005,0.0005569417216182499,1.501041196658349,1.50164841930856
4,6,0.75,21,1.2234377374238832,0.523440226786627,5.178658579852433,2.0992968306406747,0.052465421699276496,0.0008385464205941064,1.501041196658349,1.50164841930856
4,6,0.75,22,1.197441411225973,0.49424476333135436,5.062703975053763,1.9776700791890698,0.05153590208252874,0.00041478716233732567,1.501041196658349,1.50164841930856
4,6,0.75,23,1.1872101506582315,0.49193522621219904,5.015074061110161,1.971692291994549,0.049542348558639614,0.0004228988603988604,1.501041196658349,1.50164841930856
4,6,0.75,24,1.2244188078436318,0.49938148685877476,5.162628602239472,2.0044210385391397,0.05140474197634197,0.00034922687115014525,1.501041196658349,1.50164841930856
4,6,0.75,25,1.2378491597931667,0.500478932838845,5.202574530151898,1.9972973891164478,0.05305598962172362,0.00028076812247401046,1.501041196658349,1.50164841930856
4,6,0.75,26,1.235655933845227,0.4957587065771225,5.198514081994462,1.98036500089988,0.05391538954864106,0.00048060215753399334,1.501041196658349,1.50164841930856
4,6,0.75,27,1.2163143682600108,0.49583977818332364,5.151757822277447,1.9916799087967367,0.05323936549429658,0.00031975252641676394,1.501041196658349,1.50164841930856
4,6,0.75,28,1.21334721657217,0.5087135935409369,5.106203476522062,2.0363744881344346,0.051614286136652573,0.00040014820303816226,1.501041196658349,1.50164841930856
4,6,0.75,29,1.2201489860577683,0.4884452997814978,5.1357691402761905,1.9564900368962477,0.05242787289675446,0.0004820921315147335,1.501041196658349,1.50164841930856
4,6,0.75,30,1.2138274940162075,0.5013626187834458,5.121667734010226,2.014851901862195,0.05066803166195595,0.0004463721106705253,1.501041196658349,1.50164841930856
5,7,0.55,1,0.59295211623786,0.08574303099823977,2.984585464029174,0.4283551635809974,0.00696340576783262,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,2,0.6081579647136132,0.0844877725940815,3.0671435673209158,0.42142995501059594,0.007034785354046418,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,3,0.5923728298648878,0.08378506895891641,2.9969099383418634,0.4203451773937788,0.006209160950554273,8.108130021973032e-06,0.21848493009710823,0.21848493038272654
5,7,0.55,4,0.6016021854178996,0.08175537710131382,3.033059803605157,0.40883965684782253,0.0064601261262719895,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,5,0.5968808952718839,0.08245789590080288,3.0066997426120703,0.41363316055892096,0.006487413447227076,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,6,0.586860813167711,0.08512083168822887,2.9607093922185714,0.4245141831532179,0.0069237496760818865,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,7,0.6038243767895302,0.08618622875141273,3.038902944358863,0.430133185484479,0.006513026052104208,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,8,0.5942469411727965,0.0845829245533512,3.0027042184152464,0.42380847336512606,0.006619669178787854,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,9,0.6176025250625434,0.08779500535123932,3.1056281099861227,0.4372929947118907,0.0074455899198167235,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,10,0.6006772315282263,0.08446704414988561,3.042956770706657,0.4230660329310484,0.006483417257115896,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,11,0.6217247366123126,0.08556456781096886,3.1237880872064476,0.42869234838368714,0.006966955343751512,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,12,0.6017499730302674,0.08504918109059498,3.029435095115263,0.42579886038791337,0.006764182964279942,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,13,0.6120344992175097,0.0816263828856968,3.081034215393387,0.40807915267945066,0.007092828810779808,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,14,0.608688106626692,0.0839335381046529,3.0707308089265464,0.42000029681892714,0.00717350821795806,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,15,0.5956004481167947,0.08901698584723763,3.0024423389979935,0.44206992305390536,0.006201926969476156,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,16,0.6133302777807911,0.08569945502008533,3.08678156635648,0.4285492204604825,0.006970526706890564,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,17,0.6061231987060687,0.08196377619264499,3.0540844014738964,0.4085906327580855,0.0067297581493165086,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,18,0.6164913499797178,0.08603614477738278,3.098760576103633,0.42963218340224685,0.007106386067934147,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,19,0.611519999065346,0.08507327183282387,3.0824821069186403,0.42551526849057475,0.007383147339479217,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,20,0.6056627632629643,0.08494253743364111,3.0626527669865435,0.4251627584519001,0.006626334808559016,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,21,0.6175865018073307,0.08680024156279671,3.121192117161473,0.43537682266377375,0.007427167541007532,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,22,0.6184267530343932,0.08781445779741683,3.1047466034081252,0.4369572394000085,0.00686675908314259,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,23,0.5959306858868911,0.0854558011278804,3.0048261490601136,0.42728591127029125,0.006501287303463575,0.0,0.21848493009710823,0.21848493038272654
5,7,0.55,24,0.6081982845024028,0.08089566984383093,3.0698861245128493,0.4060004233907765,0.007233053352880667,0.0,0.21848493009710823,0.21848493038272654
