layout_seed,rho,seed,R3b_L,Concentrated_travel_L,R3b_block,Concentrated_block
3,1.2,2,3.6713820529889327,25.128942443613038,0.18504983388704319,0.17006077900900568
3,1.2,3,3.648860470982968,25.005462210656194,0.18298562818729716,0.16176306386779812
3,1.2,4,3.6222626721755775,24.900574659665143,0.18011520716022672,0.16657274045879103
3,1.2,5,3.635199454189697,24.83265429722084,0.18292198738723767,0.16321824116350653
3,1.2,6,3.6494755505084564,25.15778575142592,0.18557517073799312,0.16392607346333782
3,1.2,7,3.633199781736425,25.19477262731765,0.18060046189376444,0.16681175795069367
3,1.2,8,3.6296313908960216,25.437979386138196,0.18218349830094166,0.17146894220646092
3,1.2,9,3.6151896631393385,25.23415850964559,0.18238100071044352,0.16722093762378973
3,1.2,10,3.636474430257312,25.124645180540096,0.17865132928147956,0.165291869321405
4,0.6,1,0.5638870992002537,0.3423830867490285,0.0014728353922344754,0.0
4,0.6,2,0.558436846424799,0.3675959872163462,0.0019870747288664387,0.0
4,0.6,3,0.578897495651198,0.37712770265479406,0.0019859314389650885,0.0
4,0.6,4,0.5611936796171297,0.3748592961620382,0.0013666500452471976,0.0
4,0.6,5,0.5615034828112366,0.34727266095260895,0.001594896331738437,0.0
4,0.6,6,0.5515422506322274,0.32430337955642985,0.001517113783533765,0.0
4,0.6,7,0.559886959094401,0.36313090591655744,0.0017392591496132924,0.0
4,0.6,8,0.5619914896124164,0.3419185185893678,0.0017597806757557795,0.0
4,0.6,9,0.5786356096577729,0.3173250803843883,0.0020980424351887328,0.0
4,0.6,10,0.5576880247135025,0.35152635809014576,0.0021815334128878284,0.0
4,0.8,1,1.3165512563211357,2.2530621563549444,0.01639958376690947,0.0
4,0.8,2,1.2958939101058422,2.1735754967073184,0.016767952720785014,0.0
4,0.8,3,1.2935544983242393,2.1542646933620193,0.017030134536665784,0.00029088692809552173
4,0.8,4,1.3247994340612366,2.2226401156812936,0.01826832380846696,0.00015237567530128825
4,0.8,5,1.356441356919262,2.277388878445143,0.019525204510280787,6.927126627874758e-05
4,0.8,6,1.2877835309579306,2.262621551589707,0.017549261083743842,0.00019411552646903858
4,0.8,7,1.3397042991314634,2.1575057383351965,0.01870800033184923,0.00023472881917596376
4,0.8,8,1.328479176272954,2.158014153137261,0.01835193014068889,5.551314967732982e-05
4,0.8,9,1.27603187895107,2.229954923917262,0.01744696874607757,0.00027776234653630353
4,0.8,10,1.2876589395451383,2.3254392294996213,0.0177630484219868,0.00040261561315581225
4,1.0,1,2.4080930405073713,14.32306444777014,0.08080864026585434,0.03217318238103662
4,1.0,2,2.3965682792591685,13.982344583163083,0.07784001792516244,0.0311565748962563
4,1.0,3,2.466623520553412,13.895504271613976,0.08293349326935892,0.02956312518101009
4,1.0,4,2.4642623912810278,13.63754550193422,0.08680970727602852,0.027884732748194096
4,1.0,5,2.4413949077807984,14.089232334816133,0.08281762124326426,0.027910180771752054
4,1.0,6,2.438337021762893,13.502761782009252,0.08348561872168876,0.028403395041101384
4,1.0,7,2.4446360949537027,13.441531795503977,0.08485967258779445,0.028316425522479073
4,1.0,8,2.470628135036127,13.450141941890996,0.08779365061800799,0.025973012155681943
4,1.0,9,2.461184723553536,13.83646137201074,0.0845277268611559,0.028646322984526563
4,1.0,10,2.4070045187788742,13.531361930243438,0.07746998457307666,0.02617900537664457
4,1.2,1,3.4490413795503074,24.997247769330215,0.19401419144647836,0.16686864575335117
4,1.2,2,3.3945273369762523,24.64478029633723,0.1871666202025834,0.1604932526756631
4,1.2,3,3.373882890458441,24.880432751259036,0.18351210313570634,0.1699118975346117
4,1.2,4,3.4037866128226226,24.86375434833143,0.1898714199507961,0.1639697850517468
4,1.2,5,3.3397861914954867,25.276673607180943,0.18244553864518054,0.1689167916736115
4,1.2,6,3.3850616047281163,25.084319582661713,0.1907201270052242,0.16666974561711403
4,1.2,7,3.3573584093200877,24.85698957356281,0.1825671154933232,0.16275948875047433
