n,m,rho,seed,t_r1,t_r3a,t_c_analytic
10,9,1.001,13,39.82039782496588,41.05279753576031,39.34852687696999
10,9,1.001,14,39.37526209302106,38.90130142103546,39.34852687696999
10,9,1.001,15,40.04521319685936,39.84505894940071,39.34852687696999
10,9,1.002,1,40.030923811722495,42.273871053408406,39.969167630403014
10,9,1.002,2,41.15627021568768,40.67073661359918,39.969167630403014
10,9,1.002,3,40.22428003065339,41.13680574522917,39.969167630403014
10,9,1.002,4,40.003664508738886,41.885910718233,39.969167630403014
10,9,1.002,5,39.87176505982518,42.40979936733603,39.969167630403014
10,9,1.002,6,40.418384642655845,37.91406339571522,39.969167630403014
10,9,1.002,7,40.03178656799776,41.046273629480545,39.969167630403014
10,9,1.002,8,40.54716822186048,41.13096728280999,39.969167630403014
10,9,1.002,9,40.574762297749636,41.262185804297765,39.969167630403014
10,9,1.002,10,40.4078028015046,41.51996052352082,39.969167630403014
10,9,1.002,11,40.563363522608704,43.15274628702161,39.969167630403014
10,9,1.002,12,40.46589066662621,41.3919001397961,39.969167630403014
10,9,1.002,13,40.58439073260183,42.45456840659338,39.969167630403014
10,9,1.002,14,39.72888870201371,37.7313672797398,39.969167630403014
10,9,1.002,15,40.634071003954084,41.56577574591481,39.969167630403014
10,9,1.003,1,40.251226041105824,40.92256523805298,40.58960211893517
10,9,1.003,2,40.24481440517036,44.66768182822534,40.58960211893517
10,9,1.003,3,40.07963978215192,44.8673281009574,40.58960211893517
10,9,1.003,4,40.54762136978585,42.80462792931168,40.58960211893517
10,9,1.003,5,40.43751152997063,42.88857640506376,40.58960211893517
10,9,1.003,6,40.60976198625309,40.71492900497828,40.58960211893517
10,9,1.003,7,40.08006489229156,42.55164228682384,40.58960211893517
10,9,1.003,8,40.406494333675916,43.54268097766035,40.58960211893517
10,9,1.003,9,40.37105673318279,40.509275972114146,40.58960211893517
10,9,1.003,10,40.397779293879324,41.52642429937551,40.58960211893517
10,9,1.003,11,40.1732052374775,44.97078785480487,40.58960211893517
10,9,1.003,12,40.03104944673796,42.51940139366917,40.58960211893517
10,9,1.003,13,40.785527829520596,41.033274627808495,40.58960211893517
10,9,1.003,14,40.298560931742486,43.241668191155995,40.58960211893517
10,9,1.003,15,39.9387588860479,43.6526702319147,40.58960211893517
10,9,1.004,1,40.64949727598475,42.76829454256818,41.20942804139304
10,9,1.004,2,40.202547529369056,43.471417738470066,41.20942804139304
10,9,1.004,3,40.50478782132309,41.62493597210085,41.20942804139304
10,9,1.004,4,40.34717567947671,44.13362150131117,41.20942804139304
10,9,1.004,5,40.70486284433914,43.93623902433823,41.20942804139304
10,9,1.004,6,40.547035153726156,44.81798909205337,41.20942804139304
10,9,1.004,7,40.678046285440594,42.811696567586445,41.20942804139304
10,9,1.004,8,40.682860020787636,43.1370854588174,41.20942804139304
10,9,1.004,9,40.16109309347152,40.73276917288568,41.20942804139304
10,9,1.004,10,40.3452941850233,42.66711502986474,41.20942804139304
10,9,1.004,11,40.53298263485089,44.16192980973469,41.20942804139304
10,9,1.004,12,40.1141628114337,42.837240071037755,41.20942804139304
10,9,1.004,13,40.25704358991941,45.784327056387774,41.20942804139304
10,9,1.004,14,40.68553015319723,41.358655823760856,41.20942804139304
10,9,1.004,15,40.11405999901493,43.30805595486089,41.20942804139304
10,9,1.006,1,40.72835218763102,41.523114827345616,42.44567026101301
10,9,1.006,2,40.529276332335535,45.7654611467506,42.44567026101301
10,9,1.006,3,40.7799976896507,45.55090769697504,42.44567026101301
10,9,1.006,4,41.016638666662054,45.35143059075182,42.44567026101301
10,9,1.006,5,40.903847903653315,43.503155251787994,42.44567026101301
10,9,1.006,6,40.86458868143321,42.87675128353583,42.44567026101301
10,9,1.006,7,41.0444847465164,44.03906349108778,42.44567026101301
10,9,1.006,8,41.11364711186833,45.888527600000764,42.44567026101301
10,9,1.006,9,40.3056710068637,45.95694734536377,42.44567026101301
10,9,1.006,10,40.85825212201848,43.59911625932542,42.44567026101301
10,9,1.006,11,41.201346177552175,45.82457919419294,42.44567026101301
10,9,1.006,12,40.98215402828585,42.01738284255651,42.44567026101301
